# Curvas de respuesta a PP por dominio (roca intacta).
# PP es la ÚNICA variable que el operador manipula, y la manipula EN RESPUESTA a la roca. Por eso toda curva va estratificada por dominio: agregar dominios invierte la relación. Estas curvas describen el desempeño del EQUIPO dentro de una roca dada, no la roca.
# PP es variable de DECISIÓN aquí; en el modelo de caracterización es covariable de contexto. Son modelos distintos.
# generado: 2026-08-26 04:19
dominio,pp_bar,n,rop_mediana,se_mediana,cv_se,pp_saturacion
Bht,95.0,739,0.713,278.86,0.4684,205.0
Bht,105.0,1431,0.75,277.86,0.5556,205.0
Bht,115.0,3914,0.68,316.44,0.5246,205.0
Bht,125.0,9485,0.714,311.68,0.4539,205.0
Bht,135.0,13291,0.713,328.82,0.4281,205.0
Bht,145.0,7504,0.738,341.44,0.4274,205.0
Bht,155.0,9931,0.831,325.13,0.4172,205.0
Bht,165.0,8638,0.861,323.98,0.3391,205.0
Bht,175.0,22097,0.883,331.45,0.2831,205.0
Bht,185.0,21566,0.935,322.4,0.2596,205.0
Bht,195.0,10456,0.999,308.07,0.2676,205.0
Bht,205.0,19151,1.071,308.34,0.2632,205.0
Bht,215.0,69278,1.069,320.64,0.2132,205.0
Bht,225.0,76547,0.998,353.1,0.1936,205.0
Kpcli,95.0,323,0.749,266.0,0.662,225.0
Kpcli,105.0,855,0.775,270.35,0.6593,225.0
Kpcli,115.0,2375,0.712,312.29,0.8623,225.0
Kpcli,125.0,4079,0.713,319.26,0.7698,225.0
Kpcli,135.0,5130,0.748,317.67,0.4658,225.0
Kpcli,145.0,3714,0.776,332.8,0.4636,225.0
Kpcli,155.0,5318,0.714,385.22,0.4156,225.0
Kpcli,165.0,3933,0.738,398.31,0.3876,225.0
Kpcli,175.0,11427,0.831,364.26,0.3312,225.0
Kpcli,185.0,8004,0.86,357.48,0.3189,225.0
Kpcli,195.0,3979,0.937,339.44,0.3905,225.0
Kpcli,205.0,11159,1.07,309.39,0.294,225.0
Kpcli,215.0,19645,0.998,343.09,0.3304,225.0
Kpcli,225.0,41982,1.106,320.9,0.2657,225.0
Brecha_mixta,95.0,98,0.516,410.7,0.3898,195.0
Brecha_mixta,105.0,131,0.483,468.76,0.5631,195.0
Brecha_mixta,115.0,205,0.483,481.61,0.4793,195.0
Brecha_mixta,125.0,198,0.624,414.37,0.7409,195.0
Brecha_mixta,135.0,269,0.714,374.03,0.8002,195.0
Brecha_mixta,145.0,443,0.713,401.11,0.388,195.0
Brecha_mixta,155.0,3605,0.599,481.59,0.3023,195.0
Brecha_mixta,165.0,3164,0.623,474.64,0.2735,195.0
Brecha_mixta,175.0,2627,0.713,431.45,0.2269,195.0
Brecha_mixta,185.0,2214,0.714,434.84,0.2064,195.0
Brecha_mixta,195.0,2306,0.831,408.4,0.2214,195.0
Brecha_mixta,205.0,4233,0.739,479.0,0.1846,195.0
Brecha_mixta,215.0,669,0.748,456.25,0.1868,195.0
::PCC_0042:FChavito,95.0,24,0.6505,300.5,0.3456,205.0
::PCC_0042:FChavito,105.0,31,0.554,345.96,0.2969,205.0
::PCC_0042:FChavito,115.0,44,0.7885,289.09,0.2561,205.0
::PCC_0042:FChavito,125.0,151,0.705,326.99,0.2863,205.0
::PCC_0042:FChavito,135.0,467,0.624,407.25,0.3187,205.0
::PCC_0042:FChavito,145.0,357,0.62,433.1,0.3166,205.0
::PCC_0042:FChavito,155.0,792,1.0,272.22,0.2384,205.0
::PCC_0042:FChavito,165.0,679,0.999,270.98,0.2266,205.0
::PCC_0042:FChavito,175.0,652,0.881,354.95,0.2745,205.0
::PCC_0042:FChavito,185.0,581,0.911,344.34,0.2713,205.0
::PCC_0042:FChavito,195.0,248,1.194,270.94,0.3395,205.0
::PCC_0042:FChavito,205.0,190,1.36,253.23,0.4179,205.0
::PCC_0042:FChavito,215.0,1615,1.107,327.41,0.2127,205.0
::PCC_0042:FChavito,225.0,897,1.032,346.26,0.1557,205.0
