# Discriminador fractura/contacto sobre los picos del DI (ventana 14, umbral 1.5).
# Fractura: el dámper cae, la percusión cae, la velocidad aumenta.
# Contacto: el dámper NO cae, la percusión se desestabiliza, la rotación varía fuerte, la velocidad pierde su patrón.
# Sin firma clara el evento queda INDETERMINADO; no se le asigna clase.
# conteo: {'fractura': 468, 'contacto': 1480, 'indeterminado': 2651}
# contraste contra sondajes: 1 de 1 evento(s) con clase definida coinciden con la etiqueta de sondaje; 1 quedaron indeterminados y no cuentan ni a favor ni en contra. 4597 pico(s) del MWD no tienen ninguna discontinuidad de sondaje a menos de 3 m: el contraste mide solo la vecindad de los sondajes, no el caserón entero.
# generado: 2026-08-26 04:24
pozo,caseron,largo_m,este,norte,cota,di,clase,delta_pd_rel,delta_pp_rel,delta_vel_rel,cv_pp_rel,cv_pr_rel,cv_vel_rel,evidencia,motivo
PCS_1043_AUX1_H1,PCS_1043,1.755,377541.19005983527,6958023.529765406,333.25825197872473,9.857,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX1_H1,PCS_1043,6.423,377540.0067626245,6958025.364633601,337.3843170708542,4.177,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX1_H1,PCS_1043,7.081,377539.8399653741,6958025.623276119,337.96592607484325,4.387,indeterminado,0.3092,-0.0577,-0.968,7.2219,4.942,0.1219,la percusión se desestabiliza (CV ×7.2) · la rotación varía fuerte (CV ×4.9),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H1,PCS_1043,10.588,377538.95097151847,6958027.001785709,341.06577831950864,1.558,contacto,0.0139,-0.0103,-0.095,18.0698,1.8099,1.3352,el dámper no cae (Δ +1%) · la percusión se desestabiliza (CV ×18.1) · la rotación varía fuerte (CV ×1.8),
PCS_1043_AUX1_H1,PCS_1043,19.383,377536.7215158696,6958030.4588692095,348.83971629836003,2.505,indeterminado,0.1776,-0.0221,-0.1007,13.0834,2.1008,1.4292,la percusión se desestabiliza (CV ×13.1) · la rotación varía fuerte (CV ×2.1),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H1,PCS_1043,21.057,377536.2971714971,6958031.116874643,350.31937203191285,1.812,indeterminado,0.0512,-0.0166,-0.1278,21.78,1.4667,1.0823,el dámper no cae (Δ +5%) · la percusión se desestabiliza (CV ×21.8),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_H1,PCS_1043,22.811,377535.8525478236,6958031.806325974,351.86974010637624,1.986,contacto,-0.0141,-0.0201,0.0047,17.4901,2.0303,1.2489,el dámper no cae (Δ -1%) · la percusión se desestabiliza (CV ×17.5) · la rotación varía fuerte (CV ×2.0),
PCS_1043_AUX1_H1,PCS_1043,24.531,377535.41654285305,6958032.482412798,353.3900554359526,2.609,contacto,-0.0826,-0.0456,0.1485,23.1186,2.4197,2.5443,el dámper no cae (Δ -8%) · la percusión se desestabiliza (CV ×23.1) · la rotación varía fuerte (CV ×2.4) · la velocidad pierde su patrón (CV ×2.5),
PCS_1043_AUX1_H1,PCS_1043,26.303,377534.9673563369,6958033.178939457,354.95633378712085,1.844,contacto,-0.0921,-0.0132,-0.043,14.5983,1.4557,2.7712,el dámper no cae (Δ -9%) · la percusión se desestabiliza (CV ×14.6) · la velocidad pierde su patrón (CV ×2.8),
PCS_1043_AUX1_H1,PCS_1043,28.075,377534.5181698207,6958033.875466116,356.5226121382891,2.234,indeterminado,-0.106,-0.0217,0.0819,20.1124,1.8099,1.9987,el dámper cae 11% · la percusión se desestabiliza (CV ×20.1) · la rotación varía fuerte (CV ×1.8) · la velocidad pierde su patrón (CV ×2.0),Sin firma clara: el dámper se mueve demasiado para ser contacto; la firma de fractura solo reúne una condición.
PCS_1043_AUX1_H1,PCS_1043,29.81,377534.0783624812,6958034.5574490465,358.0561860317862,2.22,contacto,-0.0311,-0.0151,0.0696,15.9793,1.6325,2.8292,el dámper no cae (Δ -3%) · la percusión se desestabiliza (CV ×16.0) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×2.8),
PCS_1043_AUX1_H4,PCS_1043,0.024,377542.33498216496,6958022.194490946,331.3349640342531,10.091,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX1_H4,PCS_1043,3.469,377541.9455773056,6958023.116594856,334.63125978433237,2.922,indeterminado,0.0301,-0.0017,-0.1168,1.2602,0.6541,2.3364,el dámper no cae (Δ +3%) · la velocidad pierde su patrón (CV ×2.3),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_H4,PCS_1043,5.245,377541.7448275146,6958023.591966856,336.3305983190612,3.381,contacto,0.0253,-0.0057,-0.1602,1.5124,1.2255,1.5506,el dámper no cae (Δ +3%) · la percusión se desestabiliza (CV ×1.5) · la velocidad pierde su patrón (CV ×1.6),
PCS_1043_AUX1_H4,PCS_1043,7.039,377541.54204309726,6958024.072156817,338.04715987947986,2.689,contacto,0.0479,0.0009,-0.0101,1.0598,1.5846,1.6667,el dámper no cae (Δ +5%) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×1.7),
PCS_1043_AUX1_H4,PCS_1043,8.811,377541.3417454454,6958024.54645816,339.7426710751665,2.351,indeterminado,0.1053,0.1244,0.1224,3.4992,1.9669,1.7408,la velocidad aumenta 12% · la percusión se desestabiliza (CV ×3.5) · la rotación varía fuerte (CV ×2.0) · la velocidad pierde su patrón (CV ×1.7),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H4,PCS_1043,14.058,377540.7486518904,6958025.950893344,344.76318306374884,2.163,indeterminado,0.1192,-0.0134,-0.0327,2.0606,1.0147,1.4155,la percusión se desestabiliza (CV ×2.1),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H4,PCS_1043,16.635,377540.4573612307,6958026.640664541,347.2289462416746,1.585,indeterminado,0.1254,-0.0089,0.3956,0.9793,1.0099,1.4584,la velocidad aumenta 40%,Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H4,PCS_1043,17.465,377540.36354235315,6958026.862826006,348.02311909292735,2.288,indeterminado,-0.0175,-0.0123,0.0599,2.4602,1.2379,0.768,el dámper no cae (Δ -2%) · la percusión se desestabiliza (CV ×2.5),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_H4,PCS_1043,19.73,377540.10751854867,6958027.469085905,350.190349825563,1.877,indeterminado,-0.1093,-0.0044,-0.0285,1.215,1.5023,0.9407,el dámper cae 11% · la rotación varía fuerte (CV ×1.5),Sin firma clara: el dámper se mueve demasiado para ser contacto; la firma de fractura solo reúne una condición.
PCS_1043_AUX1_H4,PCS_1043,21.942,377539.8574855882,6958028.06115959,352.30686831588963,1.567,indeterminado,0.0248,0.0015,0.477,0.3219,1.3664,0.282,la velocidad aumenta 48% · el dámper no cae (Δ +2%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_H4,PCS_1043,22.709,377539.7707879025,6958028.266458197,353.040760577228,1.974,indeterminado,-0.0051,-0.0122,-0.2262,16.5596,0.8644,1.1124,el dámper no cae (Δ -1%) · la percusión se desestabiliza (CV ×16.6),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_H4,PCS_1043,24.478,377539.570829355,6958028.739956547,354.73340126863303,1.581,contacto,0.0061,-0.0024,0.0167,7.1293,1.0313,1.6291,el dámper no cae (Δ +1%) · la percusión se desestabiliza (CV ×7.1) · la velocidad pierde su patrón (CV ×1.6),
PCS_1043_AUX1_H4,PCS_1043,26.247,377539.3708708075,6958029.213454897,356.42604196003805,2.37,indeterminado,0.0105,-0.0021,0.0114,1.3426,1.3155,2.0957,el dámper no cae (Δ +1%) · la velocidad pierde su patrón (CV ×2.1),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_H4,PCS_1043,27.998,377539.1729468862,6958029.682135287,358.10145962575325,2.072,contacto,-0.0431,-0.0051,-0.2415,6.501,0.8655,1.6534,el dámper no cae (Δ -4%) · la percusión se desestabiliza (CV ×6.5) · la velocidad pierde su patrón (CV ×1.7),
PCS_1043_AUX1_H4,PCS_1043,29.744,377538.975588139,6958030.149477355,359.7720931176657,2.359,indeterminado,0.0676,0.0027,-0.2316,0.5003,1.3685,1.4034,el dámper no cae (Δ +7%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_H5,PCS_1043,0.023,377542.5094565855,6958022.019695657,331.35643668889253,6.124,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX1_H5,PCS_1043,1.714,377542.40259902575,6958022.375809752,333.00602107659785,3.819,contacto,0.02,0.1388,0.0237,4.5313,2.5583,1.848,el dámper no cae (Δ +2%) · la percusión se desestabiliza (CV ×4.5) · la rotación varía fuerte (CV ×2.6) · la velocidad pierde su patrón (CV ×1.8),
PCS_1043_AUX1_H5,PCS_1043,12.258,377541.7363032774,6958024.596310649,343.2917796714913,2.025,indeterminado,0.1281,-0.0014,-0.2889,2.61,1.0943,2.6376,la percusión se desestabiliza (CV ×2.6) · la velocidad pierde su patrón (CV ×2.6),Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_H5,PCS_1043,24.535,377540.960495908,6958027.181770579,355.26809399902425,1.698,indeterminado,0.0155,0.0056,-0.0654,0.551,0.8693,0.7573,el dámper no cae (Δ +2%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_H5,PCS_1043,26.273,377540.8506683273,6958027.547782582,356.9635272727273,2.043,indeterminado,-0.0398,-0.0099,-0.1524,1.1781,1.1937,1.3592,el dámper no cae (Δ -4%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_H5,PCS_1043,28.027,377540.73982967564,6958027.917164085,358.6745686778338,2.904,indeterminado,-0.0512,-0.0087,-0.007,1.2797,0.9873,1.3392,el dámper no cae (Δ -5%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_H5,PCS_1043,29.76,377540.63031805464,6958028.28212312,360.3651244104733,6.992,fractura,-0.3699,-0.4695,0.8644,14.0614,2.0244,2.6958,el dámper cae 37% · la percusión cae 47% · la velocidad aumenta 86%,
PCS_1043_AUX1_HU6,PCS_1043,0.053,377542.1428978673,6958022.395573011,331.42729910563355,9.129,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX1_HU6,PCS_1043,1.764,377541.8569951679,6958022.954812074,333.01882306297443,2.507,indeterminado,-0.0094,-0.0138,-0.0173,1.4192,0.8377,1.2805,el dámper no cae (Δ -1%),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 1 de 4 condiciones.
PCS_1043_AUX1_HU6,PCS_1043,6.852,377541.0068064277,6958024.617821051,337.75153720379876,2.322,contacto,-0.0971,-0.0125,-0.1697,4.7477,0.9502,1.9316,el dámper no cae (Δ -10%) · la percusión se desestabiliza (CV ×4.7) · la velocidad pierde su patrón (CV ×1.9),
PCS_1043_AUX1_HU6,PCS_1043,11.488,377540.2321454608,6958026.133094167,342.06381368903095,1.575,indeterminado,0.1058,0.0109,-0.1055,0.0645,1.0281,0.9348,,Sin firma clara: el dámper no cae lo suficiente para ser fractura; el dámper se mueve demasiado para ser contacto.
PCS_1043_AUX1_HU6,PCS_1043,20.887,377538.66160222783,6958029.205150254,350.80649847865504,1.68,indeterminado,0.0323,-0.0102,-0.1259,4.2803,0.8637,1.3497,el dámper no cae (Δ +3%) · la percusión se desestabiliza (CV ×4.3),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_HU6,PCS_1043,22.644,377538.36801307363,6958029.779424384,352.44081033899863,1.709,contacto,-0.0324,-0.01,-0.0498,14.8807,1.6729,1.1721,el dámper no cae (Δ -3%) · la percusión se desestabiliza (CV ×14.9) · la rotación varía fuerte (CV ×1.7),
PCS_1043_AUX1_HU6,PCS_1043,24.392,377538.07592779107,6958030.350756871,354.0667506531026,2.162,indeterminado,-0.0402,-0.0148,-0.1164,24.3256,1.3274,1.223,el dámper no cae (Δ -4%) · la percusión se desestabiliza (CV ×24.3),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_HU6,PCS_1043,26.167,377537.77933089365,6958030.9309142865,355.71780560592555,2.303,contacto,-0.0027,-0.013,0.0076,18.0532,1.5764,2.3932,el dámper no cae (Δ -0%) · la percusión se desestabiliza (CV ×18.1) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×2.4),
PCS_1043_AUX1_HU6,PCS_1043,27.907,377537.4885823858,6958031.4996319795,357.3363045455942,2.204,contacto,0.0272,-0.0112,-0.1687,15.2385,1.0024,2.6059,el dámper no cae (Δ +3%) · la percusión se desestabiliza (CV ×15.2) · la velocidad pierde su patrón (CV ×2.6),
PCS_1043_AUX1_HU6,PCS_1043,29.665,377537.1948261348,6958032.074232958,358.97154657774223,2.311,indeterminado,0.0386,0.0007,-0.1478,1.273,1.2982,2.469,el dámper no cae (Δ +4%) · la velocidad pierde su patrón (CV ×2.5),Sin firma clara: el dámper no cae lo suficiente para ser fractura; la firma de contacto solo reúne 2 de 4 condiciones.
PCS_1043_AUX1_HU6,PCS_1043,31.432,377536.89956601214,6958032.65177558,360.61516015612995,2.662,contacto,-0.0825,-0.0119,0.1661,14.2428,1.6199,1.7797,el dámper no cae (Δ -8%) · la percusión se desestabiliza (CV ×14.2) · la rotación varía fuerte (CV ×1.6) · la velocidad pierde su patrón (CV ×1.8),
PCS_1043_AUX2_H1,PCS_1043,0.02,377540.40724264446,6958024.562848175,331.385496257828,7.349,indeterminado,,,,,,,,Evento no evaluable: no hay puntos suficientes en el evento o en su tramo de referencia (típico cerca del collar).
PCS_1043_AUX2_H1,PCS_1043,13.778,377536.33463003905,6958029.837098412,343.42117201771805,1.851,contacto,0.0422,-0.0381,-0.0006,1.4953,1.5341,1.8689,el dámper no cae (Δ +4%) · la rotación varía fuerte (CV ×1.5) · la velocidad pierde su patrón (CV ×1.9),
