# RQD de Deere: porcentaje del metraje en tramos continuos de 10 cm o más sin discontinuidad, con la discontinuidad detectada por DI > 1.5.
# Indicador AGREGADO por pozo y por caserón, orientado a tronadura. No reemplaza al DI, que sigue siendo la variable de trabajo punto a punto en el resto del pipeline.
# pozos no evaluables: 3
# generado: 2026-08-26 04:24
nivel,clave,caseron,rqd_mwd,largo_m,n_tramos_validos,n_tramos_descartados
pozo,PCS_1043_AUX1_H1,PCS_1043,91.1,29.831,10.0,0.0
pozo,PCS_1043_AUX1_H4,PCS_1043,90.71,31.506,16.0,1.0
pozo,PCS_1043_AUX1_H5,PCS_1043,93.61,30.722,7.0,0.0
pozo,PCS_1043_AUX1_HU6,PCS_1043,92.52,32.484,11.0,0.0
pozo,PCS_1043_AUX2_H1,PCS_1043,92.22,32.715,11.0,1.0
pozo,PCS_1043_AUX2_H2,PCS_1043,89.95,21.003,4.0,2.0
pozo,PCS_1043_AUX2_HU6,PCS_1043,91.5,30.894,9.0,1.0
pozo,PCS_1043_AUX2_HU7,PCS_1043,95.41,32.376,8.0,0.0
pozo,PCS_1043_AUX2_HU8,PCS_1043,99.42,2.767,1.0,0.0
pozo,PCS_1043_AUX2_HU9,PCS_1043,92.53,32.265,9.0,2.0
pozo,PCS_1043_AUX3_H1,PCS_1043,92.06,29.714,10.0,2.0
pozo,PCS_1043_AUX3_H2,PCS_1043,84.26,33.437,4.0,3.0
pozo,PCS_1043_AUX3_H3,PCS_1043,89.2,14.829,5.0,0.0
pozo,PCS_1043_AUX3_H4,PCS_1043,91.24,31.377,13.0,1.0
pozo,PCS_1043_AUX3_H5,PCS_1043,92.31,30.703,10.0,0.0
pozo,PCS_1043_AUX3_HU6,PCS_1043,95.12,30.935,5.0,1.0
pozo,PCS_1043_CL01_TH_P101_H1,PCS_1043,87.47,1.484,1.0,1.0
pozo,PCS_1043_CL01_TH_P105_H10,PCS_1043,87.53,32.581,20.0,4.0
pozo,PCS_1043_CL01_TH_P105_H11,PCS_1043,94.75,31.926,4.0,0.0
pozo,PCS_1043_CL01_TH_P105_H12,PCS_1043,87.71,29.69,11.0,3.0
pozo,PCS_1043_CL01_TH_P105_H16,PCS_1043,91.76,12.118,4.0,2.0
