# modelo geológico informado por MWD.
# Bloque 2.5 m · IDW potencia 2 · anisotropía [1.0, 1.0, 3.0] · radio 7.5 m planta / 2.5 m cota.
# El yacimiento es estratiforme: la litología continúa lateralmente y cambia con la cota. Por eso la búsqueda es más larga en horizontal que en vertical. La cota entra acá como GEOMETRÍA de interpolación, nunca como variable predictora del modelo.
# Confianza = f_calidad × f_proximidad × f_soporte, los tres en [0, 1]. f_calidad es el inverso del pi_factor del atributo: incorpora la CALIDAD de la etiqueta, de modo que un dominio anclado en un ensayo del sitio y otro anclado en literatura no pueden salir con la misma confianza. f_proximidad decae con la distancia al dato más cercano. f_soporte crece con el número de muestras dentro del elipsoide.
# 35751 bloque(s) quedaron VACÍOS por no reunir 3 muestra(s) dentro del elipsoide de búsqueda (7.5 m en planta, 2.5 m en cota). No se interpolan desde más lejos: un bloque sin soporte es información, no un hueco a rellenar. El encajonado se calcula POR CASERÓN: un encajonado único sobre caserones separados por kilómetros contaría el aire entre ellos y volvería la cobertura una cifra sin significado.
# UCS acotado a los límites físicos [0.0, 450.0] MPa.
# bandas: Clasificación ISRM de resistencia de la roca intacta (Brown, 1981). Criterio trazable, no percentiles de la muestra.
# generado: 2026-08-26 10:39
x,y,z,tamano_m,caseron,ucs,di,confianza,banda,lito,calidad_etiqueta,n_muestras,dist_min_m,f_calidad,f_proximidad,f_soporte
376983.517,6958914.09,274.608,2.5,PCC_0042,134.39,1.8514,0.0316,R5_muy_alta,Bht,1.0,68,7.084,0.5698,0.0555,1.0
376983.517,6958914.09,277.108,2.5,PCC_0042,132.66,1.1315,0.0346,R5_muy_alta,Bht,1.0,188,7.044,0.5698,0.0608,1.0
376983.517,6958914.09,279.608,2.5,PCC_0042,131.42,0.5989,0.0284,R5_muy_alta,Bht,1.0,239,7.126,0.5698,0.0498,1.0
376983.517,6958914.09,282.108,2.5,PCC_0042,130.88,0.3434,0.0219,R5_muy_alta,Bht,1.0,238,7.211,0.5698,0.0385,1.0
376983.517,6958914.09,284.608,2.5,PCC_0042,131.25,0.3395,0.0134,R5_muy_alta,::PCC_0042:FChavito,,238,7.3,0.5,0.0267,1.0
376983.517,6958914.09,287.108,2.5,PCC_0042,130.9,0.3586,0.0073,R5_muy_alta,::PCC_0042:FChavito,,238,7.391,0.5,0.0146,1.0
376983.517,6958914.09,289.608,2.5,PCC_0042,130.53,0.4279,0.001,R5_muy_alta,::PCC_0042:FChavito,,130,7.485,0.5,0.002,1.0
376983.517,6958914.09,292.108,2.5,PCC_0042,130.28,0.369,0.0,R5_muy_alta,::PCC_0042:FChavito,,11,7.837,0.5,0.0,0.9167
376983.517,6958916.59,274.608,2.5,PCC_0042,132.19,1.3808,0.0855,R5_muy_alta,Bht,1.0,256,6.375,0.5698,0.15,1.0
376983.517,6958916.59,277.108,2.5,PCC_0042,133.37,1.0183,0.0874,R5_muy_alta,Bht,1.0,622,6.35,0.5698,0.1533,1.0
376983.517,6958916.59,279.608,2.5,PCC_0042,133.4,0.6488,0.0774,R5_muy_alta,Bht,1.0,623,6.481,0.5698,0.1359,1.0
376983.517,6958916.59,282.108,2.5,PCC_0042,131.8,0.3805,0.0674,R5_muy_alta,Bht,1.0,376,6.613,0.5698,0.1182,1.0
376983.517,6958916.59,284.608,2.5,PCC_0042,131.26,0.3406,0.0501,R5_muy_alta,::PCC_0042:FChavito,,238,6.748,0.5,0.1003,1.0
376983.517,6958916.59,287.108,2.5,PCC_0042,130.9,0.3577,0.041,R5_muy_alta,::PCC_0042:FChavito,,238,6.884,0.5,0.0821,1.0
376983.517,6958916.59,289.608,2.5,PCC_0042,130.81,0.6168,0.0318,R5_muy_alta,::PCC_0042:FChavito,,237,7.022,0.5,0.0637,1.0
376983.517,6958916.59,292.108,2.5,PCC_0042,130.73,0.6263,0.0225,R5_muy_alta,::PCC_0042:FChavito,,238,7.162,0.5,0.0451,1.0
376983.517,6958916.59,294.608,2.5,PCC_0042,130.41,0.3911,0.0131,R5_muy_alta,,,201,7.303,0.5,0.0263,1.0
376983.517,6958916.59,297.108,2.5,PCC_0042,130.47,0.4163,0.0029,R5_muy_alta,,,81,7.457,0.5,0.0057,1.0
376983.517,6958919.09,274.608,2.5,PCC_0042,132.13,1.3695,0.0682,R5_muy_alta,Bht,1.0,256,6.603,0.5698,0.1196,1.0
376983.517,6958919.09,277.108,2.5,PCC_0042,133.4,1.0157,0.0687,R5_muy_alta,Bht,1.0,622,6.596,0.5698,0.1206,1.0
376983.517,6958919.09,279.608,2.5,PCC_0042,133.41,0.6311,0.0562,R5_muy_alta,Bht,1.0,731,6.76,0.5698,0.0987,1.0
376983.517,6958919.09,282.108,2.5,PCC_0042,132.44,0.4079,0.0437,R5_muy_alta,Bht,1.0,518,6.925,0.5698,0.0767,1.0
